ID :  25, Time : 493, Before : 13, After : 16
ID :  49, Time : 493, Before : 12, After : 10
ID :  44, Time : 495, Before : 15, After : 17
ID :  54, Time : 496, Before :  2, After : 10
ID :  90, Time : 496, Before :  8, After :  6
ID :  68, Time : 496, Before :  9, After : 18
ID :  63, Time : 497, Before : 16, After : 17
ID :  12, Time : 498, Before :  1, After :  7
ID :  53, Time : 499, Before :  6, After :  7
ID :  55, Time : 499, Before : 14, After : 10
ID :  45, Time : 499, Before :  8, After :  4
ID :  64, Time : 500, Before :  2, After : 10
ID :  71, Time : 501, Before :  7, After :  6
ID :  32, Time : 501, Before : 14, After : 10
